public.checkout.deliveryFee,Delivery fee,Κόστος παράδοσης,Bezorg kosten,Frais de livraison,Zustellgebühr,Honorario de la entrega,Tassa di consegna,Taxa de entrega,Teslimat ücreti,Такса доставка,Плата за доставку,अर्पण शुल्क,配送料,배송 요금,Phí giao hàng,免费送货,Trošak dostave,Цена доставе,Трошоци за достава,Poštovné,Leveringspris,Toimituskulut,Leveringskostnad,Leveransavgift,ডেলিভারি করার টাকা,Szálitási költség,Ongkos kirim,Taxă de livrare,Плата за доставку,Opłata za dostawę,Цена доставе,Piegādes maksa,Bayad sa pagdeliver,वितरण शुल्क,ડિલિવરી ચાર્જ,کارمزد تحویل,رسوم التوصيل,דמי משלוח,ڈلیوری فیس
public.checkout.deliveryFeeApplicable,Applicable for orders below {{amount}},Ισχύει για παραγγελίες κάτω από {{amount}},Toepasbaar voor onderstaande bestellingen {{amount}},Applicable aux commandes inférieures à {{amount}},Gültig für Bestellungen unter {{amount}},Aplicable para pedidos a continuación {{amount}},Applicabile per ordini inferiori a {{amount}},Aplicável para pedidos abaixo de {{amount}},{{amount}} altındaki siparişlerde geçerlidir,Приложимо за следните поръчки {{amount}},Применимо для заказов ниже {{amount}},नीचे दिए गए आदेशों के लिए लागू {{amount}},{{amount}}個未満の注文に適用されます,{{amount}} 미만 주문에 적용 가능,Áp dụng cho các đơn hàng dưới {{amount}},适用于{{amount}以下的订单,Odnosi se na narudžbe do {{amount}},Односи се за поруџбине до {{amount}},{{amount}} се однсува за порачките подолу,Platí pro objednávky níže {{amount}},Gælder for ordrer under {{amount}},Sovellettavissa allaoleviin tilauksiin {{amount}},Gjeldende for ordre under {{amount}},Applicerbart för orders under {{amount}},Orders {{amount}} below এর নীচে আদেশের জন্য প্রযোজ্য,{{Amount}} alatti megrendelések esetén alkalmazható,Berlaku untuk pesanan di bawah {{amount}},Aplicabil pentru comenzile sub {{amount}},Застосовується для замовлень нижче {{amount}},Dotyczy zamówień poniżej {(amount)},Односи се за поруџбине до {{amount}},Pasūtījumiem zem {{amount}},Naaayon sa order na mababa sa {{amount}},ऑर्डर {{amount}} च्या खाली ऑर्डरसाठी लागू,Orders {{amount}} below નીચેના ઓર્ડર માટે લાગુ,قابل سفارش برای سفارش های کمتر از {amount},قابل للتطبيق للطلبات أقل من {{amount}},תקף לגבי הזמנות מתחת ל{{amount}},ذیل میں آرڈر کے لئے قابل اطلاق {{amount}}
public.thankyou.received,Received,Λήφθηκε,Ontvangen,Reçue,Empfangen,Recibido,Ricevuto,Recebido,Alındı,Получена,Получено,प्राप्त किया,注文内容確認中,수령되었습니다.,Đã nhận hàng,已收到,primjena,Примена,Примена,Obdrženo,Modtaget,Vastaanotettu,Mottat,Mottagen,গৃহীত,Átvett,Diterima,Primit,Отриманий,Otrzymane,Примена,Saņemts,Natanggap,मिळाले,પ્રાપ્ત થયો,دریافت شد,تم الاستلام,התקבל,موصول
public.thankyou.accepted,Accepted,Δεκτή,Bevestigd,Acceptée,Akzeptiert,Aceptado,Accettato,Aceite,Kabul edildi,Приета,Принято,स्वीकार किए जाते हैं,注文準備中,받았습니다.,Đã chấp nhận,已接受,prihvaćena,Прихваћена,Прифатена,Schváleno,Accepteret,Hyväksytty,Akseptert,Accepterad,গৃহীত,Elfogadott,Diterima,Acceptat,Прийнятий,Przyjęte,Прихваћена,Pieņemts,Tinanggap,स्वीकारले,સ્વીકાર્યું,تایید شد,قبلت,אושר,قبول کیا
public.checkout.field.generalValidation,The field value is not valid,Η τιμή πεδίου δεν είναι έγκυρη,Het veld waarde is niet geldig,Le format du champ n'est pas valide,Das Feldformat ist nicht gültig,El formato del campo no es válido,Il formato del campo non è valido,O formato não é válido,Format geçerli değil,Това поле не е валидно,Формат этого поля неверен,फ़ील्ड प्रारूप मान्य नहीं है,フィールドの形式が無効です,이 부분 형식이 제한되었습니다.,Định dạng phần này không hợp lệ,字段格式无效,Vrijednost polja je s netočnim formatom,Вредност поља је са нетачним форматом,Вредноста во ова поле е со невалиден формат,Formát pole není platný,Feltformat ikke gyldig,Kentän formaatti ei ole kelvollinen,Felt formatet er ikke gyldig,Fältformatet är inte giltigt,ক্ষেত্র বিন্যাসটি বৈধ নয়,A mezöformátum nem érvényes,Format bagian tidak valid,Formatul câmpului nu este valid,Формат поля не є допустимим,Format pola jest nieważny,Вредност поља је са нетачним форматом,Šajā laukā ievadītā informācija nav derīga,Ang format ng bahaging ito ay hindi tama,फील्ड स्वरूपन वैध नाही,ફીલ્ડ ફોર્મેટ માન્ય નથી,فرمت فیلد صحیح نمی باشد,التنسيق الخاص بالحقل غير صالح,פורמט לא תקין,فیلڈ کا فارمیٹ درست نہیں ہے
public.checkout.acceptTerm,By proceeding you accept the {{Terms of use}} and {{Privacy policy}},Συνεχίζοντας αποδέχεσαι τους {{Όρους χρήσης}} και την {{Πολιτική απορρήτου}},"Door verder te gaan, accepteer je de {{Gebruiksvoorwaarden}} en het {{Privacybeleid}}","En continuant, vous acceptez les {{Conditions d'utilisation}} et la {{Politique de confidentialité}}","Wenn Sie fortfahren, akzeptieren Sie die {{Nutzungsbedingungen}} und {{Datenschutzbestimmungen}}","Al continuar, acepta las {{Condiciones de uso}} y la {{Política de privacidad}}",Procedendo accetti i {{Termini di utilizzo}} e le {{Norme sulla privacy}},"Ao continuar, você aceita os {{Termos de uso}} e a {{política de privacidade}}",Devam ederek {{Kullanım Şartları}} ve {{Gizlilik politikası}} 'nı kabul etmiş olursunuz,С продължаването си приемате {{Условия за ползване}} и {{Политика за поверителност}},"Продолжая, вы принимаете {{Условия использования}} и {{Политику конфиденциальности}}.",आगे बढ़ने से आप {{उपयोग की शर्तें}} और {{गोपनीयता नीति}} स्वीकार करते हैं,続行すると、{{利用規約}}と{{プライバシーポリシー}}に同意したことになります,계속하면 {{이용 약관}} 및 {{개인 정보 취급 방침}}에 동의하게됩니다.,"Bằng cách tiếp tục, bạn chấp nhận {{Điều khoản sử dụng}} và {{Chính sách quyền riêng tư}}",继续进行，即表示您接受{{使用条款}}和{{隐私政策}},Postupkom prihvaćate {{Uvjeti korištenja}} i {{Pravila o privatnosti}},Поступком прихватате {{Услове коришћења}} и {{Политику приватности}},Продолжувајќи да ги прифатите {{Условите за користење}} и {policy Политика на приватност},Pokračováním přijímáte {{Podmínky použití}} a {{Zásady ochrany osobních údajů}},Ved at fortsætte accepterer du {{Vilkår for brug}} og {{Privatlivspolitik}},Jatkamalla hyväksyt {{Käyttöehdot}} ja {{Tietosuojakäytäntö}},Ved å fortsette godtar du {{Vilkår for bruk}} og {{Personvernregler}},Genom att fortsätta accepterar du {{Användarvillkor}} och {{Sekretesspolicy}},এগিয়ে চলার মাধ্যমে আপনি use use ব্যবহারের শর্তাদি accept} এবং {{গোপনীয়তা নীতি} accept,Folytatásával elfogadja a {{Felhasználási feltételeket}} és a {{Adatvédelmi irányelveket}},"Dengan melanjutkan, Anda menerima {{Terms of use}} dan {{Privacy policy}}",Procedând acceptați {{Termenii de utilizare}} și {{Politica de confidențialitate}},Надалі Ви приймаєте {{Умови використання}} та {{Політика конфіденційності}},"Kontynuując, akceptujesz {{Warunki użytkowania}} i {{Polityka prywatności}}",Postupkom prihvaćate {{Uslovi korišćenja}} i {{Politika privatnosti}},Turpinot jūs piekrītat {{Lietošanas noteikumi}} un {{Konfidencialitātes politika}},Jatkamalla hyväksyt {{Käyttöehdot}} ja {{Tietosuojakäytäntö}},पुढे जाऊन आपण use use वापराच्या अटी}} आणि {{गोपनीयता धोरण accept accept स्वीकारता,આગળ વધીને તમે ઉપયોગની શરતો agree} અને {{ગોપનીયતા નીતિ થી સંમત થાઓ છો.,با ادامه پذیرش {{شرایط استفاده}} و {policy خط مشی رازداری},من خلال المتابعة ، فإنك توافق على {{شروط الاستخدام}} و {{سياسة الخصوصية}},בהמשך אתה מקבל את {{תנאי השימוש}} ואת {{מדיניות הפרטיות}},آگے بڑھنے پر آپ {{قوائد و ضوابط}} اور{{پرائویسی پالیسی}} کو قبول کرتے ہیں
public.checkout.termsAndPolicy,By proceeding you accept the,Συνεχίζοντας αποδέχεσαι τους,"Door verder te gaan, accepteert je de","En continuant, vous acceptez les","Wenn Sie fortfahren, akzeptieren Sie die","Al continuar, acepta las",Procedendo accetti i,"Ao continuar, você aceita os",Devam ederek,С продължаването си приемате,"Продолжая, вы принимаете",आगे बढ़ने से आप,続行すると、,계속하면,"Bằng cách tiếp tục, bạn chấp nhận",继续进行，即表示您接受,Postupkom prihvaćate,Поступком прихватате,Продолжувајќи да ги прифатите,Pokračováním přijímáte,Ved at fortsætte accepterer du,Jatkamalla hyväksyt,Ved å fortsette godtar du,Genom att fortsätta godkänner du,By proceeding you accept the {{Terms of use}} and {{Privacy policy}},Folytatásával elfogadja a,"Dengan melanjutkan, Anda menerima",Procedând acceptați,Надалі Ви приймаєте,"Kontynuując, akceptujesz",Postupkom prihvaćate,Turpinot Jūs piekrītat,Jatkamalla hyväksyt,पुढे जाऊन आपण,આગળ વધીને તમે,با ادامه پذیرش,من خلال المتابعة ، فإنك توافق على,בהמשך אתה מקבל את,
public.checkout.acceptTerms.and,and,και την,en het,et la,und,y la,e le,e a,ve,и,и,और,と,및,và,和,i,и,и,a,og,ja,og,och,and,és a,dan,şi,та,i,i,un,ja,आणि,અને,و,و,ואת,
public.checkout.acceptTerms.after,,,,,,,,,nı kabul etmiş olursunuz,,,に同意したことになります,,에 동의하게됩니다.,स्वीकार करते हैं,,,,,,আপনি সম্মত হন,Egyetért,,,,,,,,तू सहमत आहेस,તમે માનો છો,,,,آپ اتفاق,,,,
public.checkout.termsOfUse,Terms of use,Όρους Χρήσης,Gebruiksvoorwaarden,Conditions d'utilisation,Nutzungsbedingungen,Condiciones de uso,Termini di utilizzo,Termos de uso,Kullanım Şartları,Условия за ползване,Условия использования,उपयोग की शर्तें,利用規約,이용 약관,Điều khoản sử dụng,使用条款,Uvjeti korištenja,Услове коришћења,Условите за користење,Podmínky použití,Vilkår for brug,Käyttöehdot,Vilkår for bruk,Användarvillkor,ব্যবহারের শর্তাবলী,Felhasználási feltételeket,Terms of use,Termenii de utilizare,Умови використання,Warunki użytkowania,Uslovi korišćenja,Lietošanas noteikumi,Käyttöehdot,वापराची मुदत,ઉપયોગની શરતો,شرایط استفاده,شروط الاستخدام,תנאי השימוש,استعمال کی شرائط
public.checkout.privacyPolicy,Privacy policy,Πολιτική απορρήτου,Privacybeleid,Politique de confidentialité,Datenschutzbestimmungen,Política de privacidad,Norme sulla privacy,política de privacidade,Gizlilik politikası,Политика за поверителност,Политику конфиденциальности,गोपनीयता नीति,プライバシーポリシー,개인 정보 취급 방침,Chính sách quyền riêng tư,隐私政策,Pravila o privatnosti,Политику приватности,policy Политика на приватност,Zásady ochrany osobních údajů,Privatlivspolitik,Tietosuojakäytäntö,Personvernregler,Sekretesspolicy,গোপনীয়তা নীতি,Adatvédelmi irányelveket,Privacy policy,Politica de confidențialitate,Політика конфіденційності,Polityka prywatności,Politika privatnosti,Konfidencialitātes politika,Tietosuojakäytäntö,गोपनीयता धोरण,ગોપનીયતા નીતિ,policy خط مشی رازداری,سياسة الخصوصية,מדיניות הפרטיות,رازداری کی پالیسی
public.global.cookies,By continuing you agree to the use of cookies for this site,"Συνεχίζοντας, αποδέχεστε τη χρήση cookies σε αυτό το site",Deze website maakt gebruik van cookies. Door gebruik te maken van deze website accepteerd je het gebruik van deze cookies,"Ce site utilise des cookies. En continuant à utiliser ce site, vous acceptez leur utilisation",Diese Website verwendet Cookies. Durch die weitere Nutzung dieser Website stimmen Sie deren Verwendung zu,"Este sitio utiliza cookies. Al continuar utilizando este sitio web, usted acepta su uso",Questo sito utilizza i cookie. Continuando a utilizzare questo sito web accetti il loro utilizzo,"Este site usa cookies. Ao proceder, está a aceitar o uso de cookies.","Bu site çerez kullanıyor. Bu web sitesini kullanmaya devam ederek, kullanımlarını kabul etmiş olursunuz",Сайтът използва бисквитки. Като продължавате да използвате нашия уебсайт Вие се съгласвате с използването им.,"Этот сайт использует файлы cookie. Продолжая пользоваться данным сайтом, вы соглашаетесь с их использованием",यह साइट कुकीज़ का उपयोग करती है। इस वेबसाइट का उपयोग जारी रखने से आप उनके उपयोग के लिए सहमत हो जाते हैं,このサイトはクッキーを使用しています。 このウェブサイトを使用し続けることにより、あなたはそれらの使用に同意したことになります,해당 사이트는 쿠키를 사용합니다. 해당 웹사이트를 계속 사용하시려면 그들의 사용에 동의해주세요.,Trang web này sử dụng cookie. Khi tiếp tục sử dụng trang web này nghĩa là bạn đồng ý với việc sử dụng chúng,此网站使用cookies，继续使用本网站即表示您同意使用cookies,"Ova stranica koristi kolačiće. Nastavljajući koristiti web mjesto, prihvaćate njihovu upotrebu",Овај сајт користи колачиће. Са даљом употребом сајта ви се саглашавате са њиховом употребом,Овој сајт користи колачиња. Со понатамошната употреба на сајтот вие се согласувате со нивната употреба,Tento web používá cookies. Pokračováním v používání této webové stránky souhlasíte s jejich používáním,Denne side bruger cookies. Ved fortsat brug af siden accepterer du brugen af disse,Tämä sivusto käyttää evästeitä. Jatkamalla tämän nettisivuston käyttöä hyväksyt niiden käytön.,Denne siden bruker informasjonskapsler. Ved å fortsette å bruke denne internettsiden så samtykker du deres bruk,Den här sidan använder cookies. Genom att fortsätta använda den här hemsidan accepterar du deras användning,এই সাইটটি কুকি ব্যবহার করে। এই ওয়েবসাইটটি ব্যবহার চালিয়ে যাওয়ার দ্বারা আপনি তাদের ব্যবহারের সাথে সম্মত হন,Ez az oldal cookie-kat használ .A weboldal további használatával Ön elfogadja ezek hasznalatát.,"Situs ini menggunakan cookie. Dengan terus menggunakan situs web ini, Anda menyetujui penggunaannya",Acest site foloseste cookies.Continuând să navigaţi pe acest website sunteţi de acord cu utilizarea acestora,"Цей сайт використовує файли cookie. Продовжуючи користуватися даним сайтом, Ви погоджуєтеся на його використання",Ta strona korzysta z plików cookie. Kontynuując korzystanie z tej strony wyrażasz zgodę na ich użycie.,Овај сајт користи колачиће. Са даљом употребом сајта ви се саглашавате са њиховом употребом,"Šī vietne izmanto sīkdatnes. Turpinot izmantot šo vietni, Jūs piekrītat sīkdatņu izmantošanai","Ang site na ito ay gumagamit ng cookies. Sa pagtuloy ng paggamit ng website na ito, sumasang-ayon ka sa kanila",ही साइट कुकीज वापरते. ही वेबसाइट वापरणे सुरू ठेवून आपण त्यांच्या वापरास सहमती देता,આ સાઇટ કૂકીઝનો ઉપયોગ કરે છે. આ વેબસાઇટનો ઉપયોગ ચાલુ રાખીને તમે તેમના ઉપયોગ માટે સંમત થાઓ છો,این سایت از کوکی استفاده میکند. با ورود به این سایت این مورد را میپذیرید,يستخدم هذا الموقع ملفات تعريف الارتباط. في حالة الاستمرار في استخدام هذا الموقع فإنك توافق على استخدامها,"אתר זה עושה שימוש בקוקיז. על ידי המשך גלישה באתר זה, הנכם מאשרים את השימוש בהם.",یہ سائٹ کوکیز کا استعمال کرتی ہے۔ اس ویب سائٹ کو استعمال کرتے ہوئے آپ ان کے استعمال کے طریقہ کار سے اتفاق کرتے ہیں
public.checkout.option.serve.location,I am sitting at a table,Κάθομαι σε ένα τραπέζι,Ik zit aan een tafel,Je suis assis à une table,Ich sitze an einem Tisch,Estoy sentado en una mesa,Sono seduto a un tavolo,Estou sentado numa mesa,Bir masada oturuyorum,Намирам се на маса,Я сижу за столом,मैं एक टेबल पर बैठा हूं,店内の席,저는 테이블에 앉아 있습니다.,Tôi đang ngồi ở bàn,我坐在一张桌子旁,Sjedim za stolom,Седим за столом,Седам на маса,Sedím u stolu,Jeg sidder ved et bord,Istun pöydässä,Jeg sitter ved et bord,Jag sitter vid ett bord,আমি একটা টেবিলে বসে আছি,Egy asztalnál ülök,Saya duduk di meja,Stau lângă o masă,Я сиджу за столом,Siedzę przy stole,Седим за столом,Sēžu pie galdiņa,Nakaupo ako sa mesa,ही साइट कुकीज वापरते. ही वेबसाइट वापरणे सुरू ठेवून आपण त्यांच्या वापरास सहमती देता,હું એક ટેબલ પર બેઠો છું,من پشت یک میز نشستم,أنا أجلس على طاولة,אני יושב ליד שולחן.,میں ایک میز پر بیٹھا ہوں
public.checkout.yourTable,Your table,Τραπέζι,Je tafel,Votre table,Ihr Tisch,Su mesa,Il suo tavolo,A sua mesa,Masanız,Вашата маса,Ваш стол,आपकी टेबल,テーブル番号（半角数字）,당신의 테이블,Bàn của bạn,您的桌子,Tvoj stol,Ваш сто,Вашата маса,Váš stůl,Dit bord,Sinun pöytäsi,Ditt bord,Ditt bord,আপনার টেবিল,A te asztalod,Meja Anda,Masa ta,Ваш стіл,Twój stół,Ваш сто,Jūsu galdiņš,Ang iyon mesa,आपले टेबल,તમારું ટેબલ,میز شما,الجدول الخاص بك,השולחן שלכם,آپ کی میز
public.checkout.allowedCharacters,Allowed characters,Επιτρεπόμενοι χαρακτήρες,Toegestane tekens,Caractères autorisés,Zugelassene Zeichen,Caracteres permitidos,Caratteri consentiti,Caractéres permitidos,İzin verilen karakterler,Позволени символи,Разрешенные символы,स्वीकृत वर्ण,使用できる文字タイプ,문자 허용,Các kí tự được cho phép,允许的字符,Prihvatljivi simboli,Прихватљиви симболи,Прифатливи симболи,Povolené znaky,Tilladte tegn,Sallitut merkit,Tillatte tegn,Tiilåtna tecken,অনুমোদিত অক্ষর,Megengedett karakterek,Karakter yang diperbolehkan,Caractere permise,Дозволені символи,Dozwolone postacie,Прихватљиви симболи,Pieļaujamie simboli,Pinapayagang characters,अनुमत वर्ण,માન્ય અક્ષરો,کاراکتر های مجاز,الأحرف المسموح بها,אותיות תקינות,حروف کی اجازت
public.payment.errors.valueNotValid,The value provided is not valid,Η τιμή που παρέχεται δεν είναι έγκυρη,De ingevulde waarde is niet geldig,La valeur fournie n'est pas valable,Der angegebene Wert ist nicht gültig,El valor proporcionado no es válido,Il valore fornito non è valido,O valor inserido não é válido,Sağlanan değer geçerli değil,Стойността не е валидна,Указанное значение является недопустимым,प्रदान किया गया मान मान्य नहीं है,指定された値は無効です,제공된 값은 지원되지 않습니다.,Giá trị cung cấp không hợp lệ,提供的值无效,Vrijednost koju ste unijeli nije valjana,Вредност коју сте унели није валидна,Вредноста што ја воведовте не е валидна,Zadaná hodnota není platná,Den angivne værdi er ikke gyldig,Annettu arvo ei ole kelvollinen,Verdien gitt er ikkje gyldig,Det angivna värdet är inte giltigt,প্রদত্ত মান বৈধ নয়,A megadott érték nem érvényes,Nilai yang diberikan tidak valid,Valoarea furnizată nu este validă,Вказане значення не є дійсним,Podana wartość jest nieważna,Вредност коју сте унели није валидна,Ievadītā vērtība nav derīga,Ang halagang ibinigay ay hindi tama,प्रदान केलेले मूल्य वैध नाही,પ્રદાન કરેલ કિંમત માન્ય નથી,مقدار وارد شده قابل قبول نمی باشد,القيمة المقدمة غير صالحة,הערך שהוקש אינו תקין,فراہم کردہ قدر درست نہیں ہے
public.checkout.wishTimeHeading,When would you like to receive your order?,Πότε θα ήθελες να λάβεις την παραγγελία σου;,Gewenste tijd:,Quand souhaitez-vous recevoir votre commande?,Wann möchten Sie Ihre Bestellung erhalten?,¿Cuándo le gustaría recibir su pedido?,Quando vorresti ricevere il tuo ordine?,Quando você gostaria de receber seu pedido?,Siparişinizi ne zaman almak istersiniz?,Кога искате да получите поръчката си?,Когда вы хотели бы получить свой заказ?,आप अपना आदेश कब प्राप्त करना चाहेंगे?,受取希望時間,언제 주문을 받으시겠습니까?,Khi nào bạn muốn nhận được đơn đặt hàng của bạn?,您想何时收到订单？,Kada želite primiti narudžbu?,Када желите да примите наруџбу?,Кога сакате да ја примите вашата нарачка?,Kdy byste chtěli obdržet vaši objednávku?,Hvornår vil du modtage din ordre?,Milloin haluat vastaanottaa tilauksesi?,Når vil du motta bestillingen?,När vill du få din beställning?,আপনি কখন আপনার অর্ডার পেতে চান?,Mikor szeretné megkapni a megrendelését?,Kapan Anda ingin menerima pesanan Anda?,Când doriți să primiți comanda dvs.?,Коли ви хочете отримати ваше замовлення?,Kiedy chcesz otrzymać zamówienie?,Kada želite primiti narudžbu?,Kad vēlaties saņemt pasūtījumu?,Kailan mo nais na matanggap ang iyong order?,आपण आपली मागणी कधी प्राप्त करू इच्छिता?,તમે ક્યારે તમારો ઓર્ડર મેળવવા માંગો છો?,چه زمانی می خواهید سفارش خود را دریافت کنید؟,متى تريد استلام طلبك؟,מתי תרצה לקבל את ההזמנה שלך?,آپ کب اپنا آرڈر وصول کرنا چاہیں گے؟
public.checkout.asSoonAsPossible,As soon as possible,Το συντομότερο δυνατό,Zo snel mogelijk,Je souhaite la recevoir dans les plus brefs délais,Ich möchte es so schnell wie möglich erhalten,Quiero recibirlo lo antes posible,Voglio riceverlo al più presto,Quero recebê-lo o mais rápido possível,En kısa zamanda almak istiyorum,Искам да го получа възможно най-скоро,Я хочу получить его как можно скорее,मैं इसे जल्द से जल्द प्राप्त करना चाहता हूं,準備出来次第受け取りたい,가능한 한 빨리 받고 싶습니다,Tôi muốn nhận nó càng sớm càng tốt,我想尽快收到,Želim je primiti što je prije moguće,Желим да га примим што пре,Сакам да го добијам што е можно поскоро,Chci to obdržet co nejdříve,Jeg vil gerne modtage det så hurtigt som muligt,Haluan vastaanottaa sen mahdollisimman pian,Jeg vil motta det så snart som mulig,Jag vill ta emot det så snart som möjligt,আমি যত তাড়াতাড়ি সম্ভব এটি পেতে চাই,A lehető leghamarabb meg akarom kapni,Saya ingin menerimanya sesegera mungkin,Vreau să-l primesc cât mai curând,Я хочу отримати її якнайшвидше,Chcę to otrzymać jak najszybciej,Želim da ga primim što je prije moguće,Es gribu to saņemt pēc iespējas ātrāk,Nais kong matanggap ito sa lalong madaling panahon,मला ते शक्य तितक्या लवकर प्राप्त करायचे आहे,હું તેને શક્ય તેટલી વહેલી તકે પ્રાપ્ત કરવા માંગું છું,می خواهم هرچه سریعتر آن را دریافت کنم,أريد استلامه في أقرب وقت ممكن,אני רוצה לקבל אותו בהקדם האפשרי,میں اسے جلد سے جلد وصول کرنا چاہتا ہوں
public.payment.ideal,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL,iDEAL
public.payment.bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact,Bancontact
public.payment.payNow,Pay online now,Ηλεκτρονική πληρωμή,Betaal nu online,Payez en ligne maintenant,Zahlen Sie jetzt online,Paga en línea ahora,Paga online ora,Pague online agora,Şimdi online ödeme yapın,Платете онлайн сега,Оплатить онлайн сейчас,अब ऑनलाइन भुगतान करें,今すぐオンラインで支払う,지금 온라인 지불,Thanh toán trực tuyến ngay bây giờ,立即在线付款,Platite online sada,Платите онлине одмах,Плаќаат преку Интернет сега,Zaplaťte nyní online,Betal online nu,Maksa verkossa nyt,Betal online nå,Betala online nu,অনলাইনে পেমেন্ট করুন,Online fizetés,Bayar online sekarang,Plătește online acum,Платіть онлайн зараз,Zapłać teraz online,Platite online sada,Maksājiet tiešsaistē tūlīt,Magbayad online ngayon,आता ऑनलाईन पैसे भरा,હવે Payનલાઇન ચૂકવણી કરો,اکنون بصورت آنلاین پرداخت کنید,ادفع عبر الإنترنت الآن,שלם עכשיו באינטרנט,ابھی آن لائن ادا کریں
public.global.more,more,περισσότερα,meer,plus,mehr,más,di più,mais,daha fazla,Повече,Больше,अधिक,もっと,더,hơn,更多,više,више,повеќе,více,mere,lisää,mer,mer,অধিক,több,lebih,Mai Mult,більше,więcej,više,vairāk,higit pa,अधिक,વધુ,بیشتر,أكثر,יותר,مزید
public.global.less,less,λιγότερα,minder,moins,weniger,menos,di meno,menos,daha az,По-малко,Меньше,कम से,もっと少なく,적게,ít hơn,减,manje,мање,помалку,méně,mindre,vähemmän,mindre,mindre,কম,kevésbé,kurang,Mai puțin,менше,mniej,manje,mazāk,mas kaunti,कमी,ઓછું,کمتر,أقل,פחות,کم
public.checkout.specifyWishTime,I want to specify when to receive it,Επιλογή μέρας και ώρας,Tijdsteip kiezen:,Je veux préciser à quel moment je voudrais la recevoir,"Ich möchte angeben, wann ich es erhalten soll",Quiero especificar cuándo recibirlo,Voglio specificare quando riceverlo,Quero especificar quando recebê-lo,Ne zaman alacağımı belirtmek istiyorum,Искам да уточня кога да го получа,"Я хочу уточнить, когда его получить",मैं इसे प्राप्त करने के लिए निर्दिष्ट करना चाहता हूं,受取時間を指定する,수신시기를 지정하고 싶습니다,Tôi muốn xác định khi nào nhận được nó,我想指定何时收到,Želim odrediti kada ga primiti,Желим да прецизирам када да га примим,Сакам да прецизирам кога ќе го добијам,"Chci specifikovat, kdy ho mám obdržet","Jeg vil specificere, hvornår jeg skal modtage det",Haluan määritellä milloin se tulee,Jeg vil spesifisere når jeg skal motta den,Jag vill ange när jag ska ta emot det,আমি কখন এটি গ্রহণ করব তা নির্দিষ্ট করতে চাই,"Meg akarom határozni, mikor kapom meg",Saya ingin menentukan kapan menerimanya,Vreau să specific când să o primesc,"Я хочу вказати, коли його отримувати","Chcę określić, kiedy go otrzymać",Želim odrediti kada ga primiti,"Es vēlos norādīt, kad to saņemt",Nais kong tukuyin kung kailan matanggap ito,मला ते कधी प्राप्त करायचे ते निर्दिष्ट करायचे आहे,હું તે પ્રાપ્ત કરવા માટે જ્યારે સ્પષ્ટ કરવા માંગો છો,من می خواهم مشخص کنم که چه زمانی آن را دریافت کنم,أريد تحديد موعد استلامه,אני רוצה לציין מתי לקבל אותו,میں بتانا چاہتا ہوں کہ اسے کب وصول کیا جائے
public.global.chooseFrom,Choose from,Επιλογή από,Kiezen van,Choisissez parmi,Wähle aus,Escoge de,Scegli da,Escolha entre,dan seçiniz,Избирете от,Выберите из,से चुनें,以下よりご選択ください,에서 선택,Chọn từ,从中选择,Odabrati od,Изабрати,Одбери од,Vybrat z,Vælg imellem,Valitse,Velge fra,Välja från,থেকে পছন্দ করে নিন,Válassz,Pilih dari,Alege din,Виберіть з,Wybrać z,Izaberite iz,Izvēlēties no,Pumili mula sa,मधून निवडा,આમાંથી પસંદ કરો,از بین,اختر من,לבחור מ,میں سے انتخاب کریں
