id,en,el,nl,fr,de,es,it,pt,tr,bg,ru,hi,ja
admin.store.noActiveSubscriptionsMsg,You can obtain this domain only if you purchase a GonnaOrder subscription. You can now use another domain and change it to the desired one after you have purchased a subscription,Μπορείς να αποκτήσεις αυτό το domain τομέα μόνο εάν κατοχυρώσεις μια συνδρομή GonnaOrder. Μπορείς να χρησιμοποιήσεις ένα άλλο domain και να το αλλάξεις σε αυτό που επιθυμείς αφού κατοχυρώσεις μια συνδρομή.,U kunt dit domein alleen verkrijgen als u een GonnaOrder-abonnement aanschaft. Je kunt nu een ander domein gebruiken en dit wijzigen naar het gewenste domein nadat je een abonnement hebt gekocht.,Vous ne pouvez obtenir ce domaine que si vous achetez un abonnement GonnaOrder. Vous pouvez désormais utiliser un autre domaine et le remplacer par celui de votre choix après avoir acheté un abonnement.,"Sie können diese Domain nur erhalten, wenn Sie ein GonnaOrder-Abonnement erwerben. Sie können jetzt eine andere Domain verwenden und diese nach dem Kauf eines Abonnements in die gewünschte Domain ändern.",Puede obtener este dominio solo si compra una suscripción a GonnaOrder. Ahora puede usar otro dominio y cambiarlo al deseado después de haber comprado una suscripción.,Puoi ottenere questo dominio solo se acquisti un abbonamento GonnaOrder. Ora puoi usare un altro dominio e cambiarlo con quello desiderato dopo aver acquistato un abbonamento.,Você pode obter esse domínio apenas se adquirir uma assinatura do GonnaOrder. Agora você pode usar outro domínio e alterá-lo para o desejado depois de comprar uma assinatura.,Bu etki alanını yalnızca bir GonnaOrder aboneliği satın alırsanız alabilirsiniz. Artık bir abonelik satın aldıktan sonra başka bir alan adı kullanabilir ve bunu istediğiniz alan adıyla değiştirebilirsiniz.,"Можете да получите този домейн само ако закупите абонамент за GonnaOrder. Вече можете да използвате друг домейн и да го промените на желания, след като сте закупили абонамент.","Вы можете получить этот домен, только если вы покупаете подписку GonnaOrder. Теперь вы можете использовать другой домен и изменить его на желаемый после покупки подписки.",आप इस डोमेन को केवल तभी प्राप्त कर सकते हैं जब आप एक गौनेडर सदस्यता खरीदेंगे। सदस्यता लेने के बाद आप अब किसी अन्य डोमेन का उपयोग कर सकते हैं और इसे वांछित में बदल सकते हैं।,このドメインは、GonnaOrder有料プランを購入した場合にのみ取得できます。有料プランを購入した後にご希望のドメインに変更が可能です。
admin.store.domainTakenMsg,This gonnaorder domain is already taken,Αυτός ο τομέας GonnaOrder έχει ήδη ληφθεί,Dit gonnaorder-domein is al bezet,Ce domaine est déjà pris,Diese Gonnaorder-Domain ist bereits vergeben,Este dominio de pedido ya está ocupado,Questo dominio verrà ordinato,Este domínio de pedido já está em uso,Bu gonnaorder domaini zaten alınmış,Този GonnaOrder домейн е вече зает,Этот домен порядка уже занят,यह पूर्वसमूह डोमेन पहले से ही लिया गया है,このGonnaOrderドメインはすでに取得されています
admin.store.aliasValidationMsg,The domain should contain at least 6 characters at least one of which should be a letter 'a' to 'z'. Number digits '0' to '9' and the symbol '-' are allowed. Special characters and uppercase letters are not allowed,Το domain πρέπει να περιέχει τουλάχιστον 6 χαρακτήρες τουλάχιστον ένας από τους οποίους πρέπει να είναι το γράμμα «a» έως «z». Επιτρέπονται τα ψηφία «0» έως «9» και τo σύμβολo «-». Δεν επιτρέπονται ειδικοί χαρακτήρες και κεφαλαία γράμματα,"Het domein moet minimaal 6 tekens bevatten, waarvan er één een letter 'a' tot 'z' moet zijn. Cijfers van cijfers '0' tot '9' en het symbool '-' zijn toegestaan. Speciale tekens en hoofdletters zijn niet toegestaan",Le domaine doit contenir au moins 6 caractères dont au moins un doit être une lettre «a» à «z». Les chiffres de «0» à «9» et le symbol «-» sont autorisés. Les caractères spéciaux et les majuscules ne sont pas autorisés,"Die Domain sollte mindestens 6 Zeichen enthalten, von denen mindestens eines ein Buchstabe 'a' bis 'z' sein sollte. Die Ziffern '0' bis '9' und der Symbol '-' sind zulässig. Sonderzeichen und Großbuchstaben sind nicht zulässig","El dominio debe contener al menos 6 caracteres, al menos uno de los cuales debe ser una letra 'a' a 'z'. Se permiten los dígitos numéricos '0' a '9' y lo símbolo '-'. No se permiten caracteres especiales ni letras mayúsculas.","Il dominio dovrebbe contenere almeno 6 caratteri, almeno uno dei quali dovrebbe essere una lettera da ""a"" a ""z"". Sono consentite le cifre numeriche da ""0"" a ""9"" e il simbolo ""-"". Non sono ammessi caratteri speciali e lettere maiuscole","O domínio deve conter pelo menos 6 caracteres, pelo menos um dos quais deve ser uma letra 'a' a 'z'. Os dígitos numéricos de '0' a '9' e os símbolos '-' são permitidos. Caracteres especiais e letras maiúsculas não são permitidos",Etki alanı en az 6 karakter içermelidir ve bunlardan en az biri 'a' - 'z' harfi olmalıdır. '0' ila '9' rakam basamaklarına ve '-' sembollerine izin verilir. Özel karakterlere ve büyük harflere izin verilmez,"Домейнът трябва да съдържа най-малко 6 знака, най-малко един от които трябва да е буква „а“ до „z“. Цифрите от '0' до '9' и символите '-' са позволени. Специални знаци и главни букви не са позволени","Домен должен содержать не менее 6 символов, по крайней мере один из которых должен быть буквой от «а» до «z». Допускаются цифры от 0 до 9 и символы «-». Специальные символы и заглавные буквы не допускаются",डोमेन में कम से कम 6 अक्षर होने चाहिए जिनमें से एक अक्षर 'a' से 'z' होना चाहिए। संख्या अंक '0' से '9' और प्रतीकों '-' की अनुमति है। विशेष वर्ण और बड़े अक्षर की अनुमति नहीं है,ドメインには少なくとも6文字が含まれている必要があり、少なくとも1つは半角a-zである必要があります。また数字の0-9、および記号「-」と「_」を使用できます。特殊文字と大文字は使用できません
admin.store.phoneNumber.pattern,Usage of only digits 0-9 is allowed.,Η χρήση μόνο ψηφίων από 0-9 επιτρέπεται.,Gebruik van alleen cijfers 0-9 is toegestaan.,L'utilisation seulement des chiffres 0 à 9 est autorisée.,Die Verwendung von nur Ziffern 0-9 ist zulässig.,Se permite el uso de solo dígitos 0-9.,L'utilizzo delle sole cifre 0-9 è consentito.,O uso de apenas dígitos de 0 a 9 é permitido.,Sadece 0-9 arasındaki rakamların kullanımına izin verilir.,Използването само на цифри 0-9 е позволено.,Допускается использование только цифр 0-9.,केवल 0-9 अंकों के उपयोग की अनुमति है।,0〜9の数字のみ使用できます。
admin.store.enablePaypalPaymentGonnaOrderLabel,.gonnaorder.com,gonnaorder.com,gonnaorder.com,gonnaorder.com,gonnaorder.com,gonnaorder.com,gonnaorder.com,gonnaorder.com,gonnaorder.com,gonnaorder.com,gonnaorder.com,gonnaorder.com,gonnaorder.com
admin.store.preferredLanguage.label,Preferred language,Προτιμώμενη γλώσσα,Voorkeurstaal,Langue préférée,Bevorzugte Sprache,Idioma preferido,Lingua preferita,Língua preferida,Tercih edilen dil,Предпочитан език,Предпочтительный язык,पसंदीदा भाषा,優先言語
admin.store.settings.catalog.title,Catalog,Κατάλογος,Menu,Catalogue,Katalog,Catalogar,Catalogare,Catálogo,Katalog,Каталог,Каталог,सूची,メニュー設定
admin.register.registerTitle,Register,Εγγραφή,Registreren,S'inscrire,Registrieren,Registrarse,Registrati,Registro,Kayıt ol,Регистрация,регистр,रजिस्टर करें,登録
admin.register.registerationSuccess,Thank you for your registration. You will shortly receive an email to verify your account.,Ευχαριστούμε για την εγγραφή σου. Σύντομα θα λάβεις ένα μήνυμα ηλεκτρονικού ταχυδρομείου για την επαλήθευση του λογαριασμού σου.,Bedankt voor je inschrijving. U ontvangt binnenkort een e-mail om je account te verifiëren.,Merci pour votre inscription. Vous recevrez sous peu un e-mail pour valider votre compte.,Danke für ihre Registrierung. Sie erhalten in Kürze eine E-Mail zur Bestätigung Ihres Kontos.,Gracias por su registro. En breve recibirá un correo electrónico para verificar su cuenta.,Grazie per la tua registrazione. A breve riceverai un'email per verificare il tuo account.,"Obrigado por sua inscrição. Em breve, você receberá um e-mail para verificar sua conta.",Kaydolduğunuz için teşekkür ederiz. Hesabınızı doğrulamak için kısa süre içinde bir e-posta alacaksınız.,"Благодарим Ви за регистрацията. Скоро ще получите e-mail, за да потвърдите акаунта си.",Спасибо за вашу регистрацию. Вскоре вы получите электронное письмо для подтверждения вашей учетной записи.,आपके पंजीकरण के लिए आपका धन्यवाद। आपको शीघ्र ही अपने खाते को सत्यापित करने के लिए एक ईमेल प्राप्त होगा।,ご登録ありがとうございます。アカウントを確認するためのメールがまもなく届きます。
admin.register.haveAccount,Already have an account?,Έχεις ήδη λογαριασμό;,Heb je al een account?,Vous avez déjà un compte?,Sie haben bereits ein Konto?,¿Ya tienes una cuenta?,Hai già un account?,já tem uma conta?,Zaten hesabınız var mı?,Вече имате акаунт?,Уже есть аккаунт?,क्या आपके पास पहले से एक खाता मौजूद है?,すでにアカウントをお持ちですか？
admin.user.profile.updateTitle,Update Profile,Ανανέωση προφίλ,Profiel bijwerken,Mettre à jour votre profil,Profil aktualisieren,Actualización del perfil,Aggiorna il profilo,Atualizar perfil,Profili Güncelle,Актуализиране на профилa,Обновить профиль,प्रोफ़ाइल अपडेट करें,プロファイルの更新
admin.user.details.emailErrorMsgInvaild,Email is invaild,Το email δεν είναι έγκυρο,E-mail is ongeldig,L'email est invaild,E-Mail ist invaild,El correo electrónico es invaild,L'email è invaild,E-mail inválido,E-posta geçersiz,Невалиден e-mail,Адрес электронной почты,ईमेल आक्रमण है,メールアドレスが無効です
admin.user.details.lastName,Last Name,Επίθετο,Achternaam,Nom de famille,Nachname,Apellido,Cognome,Último nome,Soyadı,Фамилия,Фамилия,उपनाम,名字
admin.user.details.confirmPassword,Confirm password,Επιβεβαίωση Κωδικού,Bevestig wachtwoord,Confirmez le mot de passe,Kennwort bestätigen,Confirmar contraseña,Conferma password,Confirme a Senha,Şifreyi Onayla,Потвърдете парола,Подтвердите Пароль,पासवर्ड की पुष्टि कीजिये,パスワードを認証
admin.user.details.confirmPasswordErrorMsgMisMatch,Passwords do not match,Οι κωδικοί πρόσβασης δεν ταιριάζουν,Wachtwoorden komen niet overeen,Les mots de passe ne correspondent pas,Passwörter stimmen nicht überein,Las contraseñas no coinciden,le passwords non corrispondono,As senhas não coincidem,Parolalar uyuşmuyor,Паролите не съвпадат,Пароли не соответствуют,पासवर्ड मेल नहीं खाते,パスワードが一致していません
admin.passwordAuth.passAuthButton,Re-Authenticate,Επαναπιστοποίηση ταυτότητας,Opnieuw authenticeren,Réauthentifier,Erneut authentifizieren,Re-Autenticar,Riautenticare,Autenticar novamente,Yeniden Authenticate,Ново удостоверяване,Re-Authenticate,पुन: प्रमाणीकृत,再認証
admin.passwordAuth.passAuthPromt,Please confirm password to continue,Παρακαλώ επιβεβαίωσε τον κωδικό πρόσβασης για να συνεχίσεις,Bevestig het wachtwoord om door te gaan,Veuillez confirmer le mot de passe pour continuer,"Bitte bestätigen Sie das Passwort, um fortzufahren",Por favor confirme la contraseña para continuar,Conferma la password per continuare,Confirme a senha para continuar,Devam etmek için lütfen şifreyi onaylayın,"Моля, потвърдете паролата, за да продължите","Пожалуйста, подтвердите пароль, чтобы продолжить",जारी रखने के लिए कृपया पासवर्ड की पुष्टि करें,続行するにはパスワードを確認してください
admin.store.settings.ordering.title,Ordering,Παραγγελία,Bestellen,Commande,Bestellung,Ordenar,ordinazione,Encomenda,Sipariş Verme,Поръчване,заказ,आदेश,注文管理
admin.store.settings.branding.title,Branding,Branding,Branding,Branding,Branding,Branding,Marchio,Marca,Markalaşma,Брандиране,Брендинг,ब्रांडिंग,ブランド
admin.store.settings.branding.text.standard,Standard,Τυπικό,Standaard,Standard,Standard,Estándar,Standard,Padrão,Standart,Стандартен,Стандартный,मानक,標準
admin.store.settings.branding.text.customized,Customized,Προσαρμοσμένο,Aangepast,Personnalisé,Maßgeschneidert,Personalizado,Personalizzato,Personalizado,Özelleştirilmiş,Персонализирано,Индивидуальные,स्वनिर्धारित,カスタマイズ
admin.store.settings.branding.text.theme,Theme,Θέμα,Thema,Thème,Thema,Tema,Tema,Tema,Tema,Тема,Тема,विषय,テーマ
admin.store.settings.branding.text.primaryFont,Primary Font,Κύρια γραμματοσειρά,Primair lettertype,Police principale,Primäre Schriftart,Fuente principal,Carattere primario,Fonte Primária,Birincil Yazı Tipi,Основен шрифт,Основной шрифт,प्राथमिक फ़ॉन्ट,プライマリーフォント
admin.store.settings.branding.text.secondaryFont,Secondary Font,Δευτερεύουσα γραμματοσειρά,Secundair lettertype,Police secondaire,Sekundäre Schriftart,Fuente secundaria,Carattere secondario,Fonte secundária,İkincil Yazı Tipi,Вторичен шрифт,Вторичный шрифт,द्वितीयक फ़ॉन्ट,セカンダリーフォント
admin.store.settings.branding.text.sampleText,Sample Text,Δείγμα κειμένου,Voorbeeldtekst,Exemple de texte,Beispieltext,Texto de ejemplo,Testo di esempio,Texto de amostra,Örnek yazı,Примерен текст,Образец текста,सेम्पल विषय,サンプルテキスト
admin.store.settings.branding.text.noBackgroundStyle,No Background Style,Στυλ χωρίς φόντο,Geen achtergrondstijl,Aucun style d'arrière-plan,Kein Hintergrundstil,Sin estilo de fondo,Nessuno stile di sfondo,Sem estilo de fundo,Arka Plan Stili Yok,Без стил на фона,Нет стиля фона,कोई पृष्ठभूमि शैली नहीं,背景なし
admin.store.settings.branding.text.highlightColour,Highlight Colour,Χρώμα επισήμανσης,Markeer kleur,Couleur de surbrillance,Farbe hervorheben,Color de resaltado,Evidenzia colore,Cor de destaque,Rengi Vurgula,Цвят на маркирането,Цвет выделения,रंग हाइलाइट करें,ハイライトカラー
admin.store.settings.branding.text.lightBackgroundStyle,Light Background Style,Στυλ ανοιχτόχρωμου φόντου,Lichte achtergrondstijl,Style de fond clair,Heller Hintergrundstil,Estilo de fondo claro,Stile di sfondo chiaro,Estilo de fundo claro,Açık Arka Plan Stili,Стил на светъл фон,Светлый фоновый стиль,हल्की पृष्ठभूमि शैली,明るい背景スタイル
admin.store.settings.branding.text.backgroundColor,Background Colour,Χρώμα φόντου,Achtergrond kleur,La couleur d'arrière-plan,Hintergrundfarbe,Color de fondo,Colore di sfondo,Cor de fundo,Arka plan rengi,Цвят на фона,Цвет фона,पृष्ठभूमि का रंग,背景色
admin.store.settings.branding.text.foregroundColor,Foreground Colour,Χρώμα προσκηνίου,Voorgrondkleur,Couleur de premier plan,Vordergrundfarbe,Color de primer plano,Colore di primo piano,Cor de primeiro plano,Ön Plan Rengi,Цвят на преден план,Цвет переднего плана,अग्रभूमि रंग,前景色
admin.store.settings.branding.text.darkBackgroundStyle,Dark Background Style,Στυλ σκουρόχρωμου φόντου,Donkere achtergrondstijl,Style de fond sombre,Dunkler Hintergrundstil,Estilo de fondo oscuro,Stile di sfondo scuro,Estilo de fundo escuro,Koyu Arka Plan Stili,Стил на тъмен фон,Темный стиль фона,गहरे रंग की पृष्ठभूमि शैली,暗い背景スタイル
admin.store.settings.details.title,Details,Λεπτομέρειες,Details,Détails,Einzelheiten,Detalles,Dettagli,Detalhes,Ayrıntılar,Детайли,подробности,विवरण,詳細
admin.store.settings.paymentProviders.title,Payments,Πληρωμές,Betalingen,Paiements,Zahlungen,Pagos,Pagamenti,Pagamentos,Ödemeler,Плащания,Платежи,भुगतान,支払い
admin.store.disabled,Inactive,Ανενεργό,Uitgeschakelt,Désactivé,Behindert,Discapacitado,Disabilitato,Desativado,Devre dışı,Деактивирано,Отключено,विकलांग,無効
admin.store.paymentDisabled,Payment Inactive,Πληρωμή απενεργοποιημένη,Betaling uitgeschakeld,Paiement désactivé,Zahlung deaktiviert,Pago deshabilitado,Pagamento disabilitato,Pagamento desativado,Ödeme Devre Dışı,Плащането е деактивирано,Платеж отключен,भुगतान अक्षम,事前支払い無効
admin.store.paymentOptional,Payment Optional,Πληρωμή προαιρετική,Betaling optioneel,Paiement facultatif,Zahlung Optional,Pago opcional,Pagamento opzionale,Pagamento opcional,Ödeme İsteğe Bağlı,Плащане по избор,Оплата необязательно,भुगतान वैकल्पिक,事前支払い選択可
admin.store.paymentMandatory,Payment Mandatory,Υποχρεωτική πληρωμή,Betaling verplicht,Paiement obligatoire,Zahlung obligatorisch,Pago obligatorio,Pagamento obbligatorio,Pagamento Obrigatório,Ödeme Zorunlu,Плащането е задължително,Оплата обязательна,भुगतान अनिवार्य,事前支払い必須
admin.store.enabled,Active,Ενεργό,Ingeschakeld,Activé,aktiviert,Habilitado,Abilitato,ativado,Aktif,Активирано,Включено,सक्रिय,有効
admin.store.setting.connect,Connect,Σύνδεση,Aansluiten,Relier,Verbinden,Conectar,Collegare,Conectar,Bağlan,Свържете,Соединять,जुडिये,接続する
admin.store.disconnect,Disconnect,Αποσύνδεση,Uitzetten,Déconnecter,Trennen,Desconectar,Disconnect,desconectar,Bağlantı koptu,Прекъсване на връзката,Отключить,डिस्कनेक्ट,切断する
admin.store.accountID,Account ID,Αναγνωριστικό λογαριασμού,Account ID,identifiant de compte,Konto-ID,ID de la cuenta,Account ID,ID da conta,Hesap Kimliği,Идентификационен номер на акаунта,Идентификатор аккаунта,खाता पहचान,アカウントID
admin.store.paymentMethodDetailsMessage,Select the payment providers that you want to connect to,Επίλεξε τους παρόχους πληρωμών που θέλεις να συνδεθείς,Selecteer de betalingsproviders die je wilt koppelen,Sélectionnez les fournisseurs de paiement que vous souhaitez connecter,"Wählen Sie die Zahlungsanbieter aus, zu denen Sie eine Verbindung herstellen möchten",Seleccione los proveedores de pago que desea conectar.,Seleziona i fornitori di servizi di pagamento a cui desideri connetterti,Selecione os provedores de pagamento que você deseja conectar,Bağlanmak istediğiniz ödeme sağlayıcılarını seçin,"Изберете доставчиците на плащания, които искате да свържете","Выберите поставщиков платежей, к которым вы хотите подключиться",उन भुगतान प्रदाताओं का चयन करें जिन्हें आप कनेक्ट करना चाहते हैं,接続したい支払いプロバイダーを選択します
admin.store.optionGroup.atMostOneOption,At most one option can be selected,Μπορεί να επιλεγεί το πολύ μία επιλογή,Er kan maximaal één optie worden geselecteerd,Au plus une option peut être sélectionnée,Es kann höchstens eine Optionen ausgewählt werden,Como máximo se puede seleccionar una opción,È possibile selezionare al massimo un'opzione,No máximo uma opção pode ser selecionada,En fazla bir seçenek seçilebilir,Най-много една опция може да бъде избрана,Максимум один вариант может быть выбран,अधिकतम एक विकल्प पर चयन किया जा सकता है,最大1つのオプションを選択できます
admin.store.payment.stripeUserMsg,"Creating a Stripe Account allows receiving orders via credit card, iDEAL, Bancontact",Η δημιουργία ενός λογαριασμού Stripe επιτρέπει τη λήψη παραγγελιών μέσω πιστωτικής κάρτας,"Door een Stripe-account aan te maken, kunt je bestellingen ontvangen via creditcard, iDEAL, Bancontact","La création d'un compte Stripe permet de recevoir des commandes par carte de crédit, iDEAL, Bancontact","Das Erstellen eines Stripe-Kontos ermöglicht den Empfang von Bestellungen über Kreditkarte, iDEAL, Bancontact","La creación de una cuenta de Stripe permite recibir pedidos con tarjeta de crédito, iDEAL, Bancontact","La creazione di un account Stripe consente di ricevere ordini tramite carta di credito, iDEAL, Bancontact","Criar uma conta Stripe permite receber pedidos via cartão de crédito, iDEAL, Bancontact","Stripe Hesabı oluşturmak, kredi kartı, iDEAL, Bancontact aracılığıyla sipariş alınmasını sağlar","Създаването на Stripe акаунт позволява получаване на поръчки чрез кредитна карта, iDEAL, Bancontact","Создание учетной записи Stripe позволяет получать заказы с помощью кредитной карты, iDEAL, Bancontact.","स्ट्राइप अकाउंट बनाना क्रेडिट कार्ड, iDEAL, Bancontact के माध्यम से ऑर्डर प्राप्त करने में सक्षम बनाता है",ストライプアカウントを作成すると、クレジットカード、iDEAL、Bancontactを介して注文を受け取ることができます
admin.store.payment.paypalDisableMsg,Paypal is temporarily not supported,Το Paypal δεν υποστηρίζεται προσωρινά,Paypal wordt tijdelijk niet ondersteund,Paypal n'est temporairement pas pris en charge,Paypal wird vorübergehend nicht unterstützt,PayPal no es compatible temporalmente,Paypal non è temporaneamente supportato,Paypal temporariamente não é suportado,Paypal geçici olarak desteklenmiyor,Paypal временно не се поддържа,Paypal временно не поддерживается,पेपैल अस्थायी रूप से समर्थित नहीं है,Paypalは一時的にサポートされていません
admin.storeError.unExpected,An unexpected error has occurred,Παρουσιάστηκε μη αναμενόμενο σφάλμα,Er is een onverwachte fout opgetreden,Une erreur imprévue s'est produite,Ein unerwarteter Fehler ist aufgetreten,Ha ocurrido un error inesperado,Si è verificato un errore imprevisto,Ocorreu um erro inesperado,Beklenmeyen bir hata oluştu,Появи се неочаквана грешка,произошла неожиданная ошибка,एक अनपेक्षित त्रुटि हो गई है,予期しないエラーが発生しました
admin.store.payment.creditCard,Credit Card,Πιστωτική κάρτα,Kredietkaart,Carte de crédit,Kreditkarte,Tarjeta de crédito,Carta di credito,Cartão de crédito,Kredi kartı,Кредитна карта,Кредитная карта,क्रेडिट कार्ड,クレジットカード
admin.store.payment.bancontact,Bancontact,bancontact,bancontact,bancontact,Bankontakt,bancontacto,bancontact,bancontact,bancontact,банконтакт,банконтакт,बैंककॉन्टैक्ट,Bancontact
admin.store.payment.iDeal,ideal,ιδανικό,ideaal,idéal,Ideal,ideal,ideale,ideal,ideal,идеален,идеальный,आदर्श,iDEAL
admin.menu.preview,Preview,Προεπισκόπηση,Voorbeeld,Prévisualisation,Vorschau,Avance,Anteprima,Pré-visualização,Ön izleme,Преглед,предварительный просмотр,पूर्वावलोकन,プレビュー
admin.store.location.createBulk,Create tables in bulk,Ομαδική προσθήκη τραπεζιών,Tafels bulksgewijs toevoegen,Créer des tables en masse,Fügen Sie Tischen in großen Mengen hinzu,Crear tablas a granel,Crea tabelle in blocco,Criar tabelas em massa,Toplu masa oluşturma,Създавайте маси на едро,Создавайте таблицы оптом,बल्क में टेबल बनाएं,テーブルをまとめて作成
admin.store.voucher.commissionStatus,Commission Status,Καθεστώς προμήθειας,Status van de Commissie,Statut de la commission,Provisionsstatus,Estado de la comisión,Stato della Commissione,Status da Comissão,Komisyon Durumu,Състояние на комисион,Статус комиссии,कमीशन की स्थिति,手数料の状況
admin.store.voucher.waiting_for_store_purchase,Waiting for Store Purchase,Αναμονή αγοράς συνδρομής,Wachten op winkelaankoop,En attente de l'achat en magasin,Warten auf den Kauf im Geschäft,Esperando la compra en la tienda,In attesa dell'acquisto del negozio,Aguardando compra da loja,Mağaza Satın Alma Bekleniyor,В очакване на покупка на обекта,В ожидании покупки в магазине,स्टोर खरीद की प्रतीक्षा की जा रही है,店頭購入待ち
admin.store.voucher.eligible_for_payment,Eligible for Payment,Δικαιωμα πληρωμής προμήθειας,Geschikt voor betaling,Admissible au paiement,Zahlungsberechtigt,Elegible para pago,Idoneo per il pagamento,Elegível para pagamento,Ödeme için uygun,Допустими за плащане,Право на оплату,भुगतान के योग्य,支払いの対象
admin.store.voucher.waiting_for_finalization,Waiting 14 days for finalization,Αναμονή 14 ημερών για οριστικοποίηση,14 dagen wachten op afronding,Attente de 14 jours pour la finalisation,Warten Sie 14 Tage auf die Fertigstellung,Esperando 14 días para la finalización,In attesa di 14 giorni per la finalizzazione,Aguardando 14 dias para finalização,Sonuçlandırılması için 14 gün bekleniyor,Изчакване 14 дни за финализиране,Ожидание 14 дней для завершения,अंतिम रूप देने के लिए 14 दिन की प्रतीक्षा की जा रही है,ファイナライズまで14日間お待ちください
admin.store.voucher.useDate,Voucher Use Date,Ημερομηνία χρήσης κουπονιού,Datum gebruik voucher,Date d'utilisation du bon,Datum der Verwendung des Gutscheins,Fecha de uso del cupón,Data di utilizzo del voucher,Data de uso do voucher,Kupon Kullanım Tarihi,Дата на използване на ваучера,Дата использования ваучера,वाउचर उपयोग की तारीख,クーポン利用日
admin.global.partnerProgram.commissions,Commissions,Προμήθειες,Commissies,Commissions,Provisionen,Comisiones,commissioni,Comissões,Komisyonlar,Комисионни,Комиссионные,आयोगों,手数料
admin.global.storeLabel,Store,Κατάστημα,Winkel,Magasin,Geschäft,Tienda,Memorizzare,Loja,Mağaza,Обект,хранить,दुकान,店舗
admin.store.message.errorTryAgain,"An error occured, please try again",Παρουσιάστηκε σφάλμα. Δοκίμασε ξανά,Er is een fout opgetreden. Probeer het opnieuw,Une erreur s'est produite. Veuillez réessayer,Ein Fehler ist aufgetreten. Bitte versuchen Sie es noch einmal,Ocurrió un error,"Si è verificato un errore, riprova",Ocorreu um erro. Tente novamente,Bir hatayla karşılaşıldı. Lütfen tekrar deneyin,"Възникна грешка. Моля, опитайте отново","Произошла ошибка, пожалуйста, попробуйте еще раз",एक त्रूटि हुई: कृपया फिर से कोशिश करें,エラーが発生しました。再試行してください
admin.store.message.storeUpdate,Store updated successfully,Το κατάστημα ενημερώθηκε!,Winkel bijgewerkt!,Magasin mise à jour!,Shop aktualisiert!,Tienda actualizada!,Negozio aggiornato!,Loja atualizada!,Mağaza güncellendi!,Обектът е актуализиран!,Магазин обновлен!,स्टोर अपडेट किया गया!,店舗が更新されました！
admin.store.message.actionFail,Action failed!,Η ενέργεια απέτυχε!,Actie mislukt!,Action échoué!,Aktion: fehlgeschlagen!,¡Accion: Fallida!,Azione fallita!,Ação: falhou!,Eylem başarısız!,Неуспешно действие!,Действие не удалось!,क्रिया: विफल रही है!,アクションが失敗しました！
admin.store.message.loadFail,Load Failed!,Η φόρτωση απέτυχε!,Laden mislukt!,Chargement échoué!,Laden fehlgeschlagen!,¡Carga fallida!,Caricamento non riuscito!,Erro de carregamento!,Yükleme başarısız!,Зареждането не бе успешно!,Ошибка загрузки!,लोड विफल हो गया!,ロードに失敗しました！
admin.store.message.acessRemoveFail,Removing access from store Failed,Η κατάργηση της πρόσβασης από το κατάστημα απέτυχε,Toegang tot winkel verwijderen mislukt,Échec de la suppression de l'accès au magasin,Entfernen des Zugriffs aus dem Speicher fehlgeschlagen,Eliminando el acceso de la tienda Falló,Rimozione dell'accesso dall'archivio non riuscita,Falha na remoção do acesso da loja,Mağazadan erişim kaldırılamadı,Премахването на достъпа от обекта не бе успешно,Удаление доступа из магазина не удалось,स्टोर से पहुंच हटाना विफल रहा,店舗からのアクセスの削除に失敗しました
admin.store.message.acessRemoveSuccess,Removed access from store succesfully!,Καταργήθηκε επιτυχώς η πρόσβαση από το κατάστημα!,Toegang verwijderd uit de winkel!,Accès au magasin supprimé avec succès!,Erfolgreich aus dem Store entfernt!,¡Se eliminó el acceso de la tienda con éxito!,Accesso rimosso dal negozio con successo!,Acesso removido da loja com sucesso!,Mağazadan erişim başarıyla kaldırıldı!,Премахнат успешно от обекта!,Удален доступ из магазина успешно!,सफलतापूर्वक सक्सेस स्टोर से हटा दिया गया!,店舗からのアクセスを正常に削除しました！
admin.store.message.inviteUserFail,Failed to invite user!,Αποτυχία πρόσκλησης χρήστη!,Kan gebruiker niet uitnodigen!,Échec de l'invitation de l'utilisateur!,Benutzer konnte nicht eingeladen werden!,¡Error al invitar al usuario!,Impossibile invitare l'utente!,Falha ao convidar o usuário!,Kullanıcı davet edilemedi!,Неуспешно покана на потребител!,Не удалось пригласить пользователя!,उपयोगकर्ता को आमंत्रित करने में विफल!,ユーザーの招待に失敗しました！
admin.store.message.inviteUserSuccess,The user has been invited to manage the store!,Ο χρήστης έχει προσκληθεί να διαχειριστεί το κατάστημα!,De gebruiker is uitgenodigd om de winkel te beheren!,L'utilisateur a été invité à gérer le magasin!,"Der Benutzer wurde eingeladen, den Shop zu verwalten!",¡El usuario ha sido invitado a administrar la tienda!,L'utente è stato invitato a gestire il negozio!,O usuário foi convidado a gerenciar a loja!,Kullanıcı mağazayı yönetmeye davet edildi!,Потребителят е поканен да управлява обекта!,Пользователь был приглашен для управления магазином!,उपयोगकर्ता को स्टोर का प्रबंधन करने के लिए आमंत्रित किया गया है!,ユーザーは店舗の管理に招待されました！
admin.store.message.uploadFail,Upload failed!,Η μεταφόρτωση απέτυχε!,Upload mislukt!x`,Échec du chargement!,Upload fehlgeschlagen!,¡Subida fallida!,Caricamento fallito!,O envio falhou!,Yükleme başarısız!,Качването не бе успешно!,Загрузка не удалась!,अपलोड विफल!,アップロードに失敗しました！
